Id,SalePrice
1461,110393.66
1462,146472.28
1463,166271.46
1464,175486.87
1465,194424.24
1466,172891.67
1467,180144.3
1468,163054.47
1469,207691.63
1470,115115.1
1471,197754.93
1472,104354.84
1473,92445.7
1474,145744.8
1475,110372.14
1476,341274.92
1477,231656.32
1478,315697.25
1479,296768.26
1480,428290.77
1481,289937.69
1482,203462.31
1483,180561.82
1484,163237.63
1485,206116.19
1486,212760.56
1487,306266.04
1488,231933.68
1489,196694.28
1490,238956.79
1491,211085.01
1492,92219.62
1493,193446.9
1494,287161.4
1495,270618.83
1496,234826.13
1497,179089.93
1498,166246.58
1499,171519.28
1500,158948.03
1501,215223.72
1502,152954.61
1503,262246.71
1504,243324.34
1505,225116.58
1506,191694.56
1507,246981.21
1508,193939.62
1509,163048.31
1510,140485.11
1511,156975.77
1512,178557.68
1513,150484.66
1514,141957.72
1515,200746.66
1516,167904.97
1517,159204.75
1518,122808.76
1519,221267.05
1520,126603.02
1521,114849.37
1522,191671.67
1523,100742.12
1524,129559.86
1525,103190.76
1526,88808.64
1527,94081.43
1528,151469.91
1529,128147.26
1530,195533.04
1531,143368.76
1532,96124.2
1533,163933.37
1534,149437.91
1535,156064.64
1536,107299.01
1537,60621.9
1538,160596.29
1539,221939.72
1540,113285.02
1541,143672.93
1542,127782.83
1543,192498.11
1544,95559.75
1545,117085.34
1546,132483.18
1547,138638.58
1548,135653.85
1549,104821.51
1550,133908.26
1551,135197.52
1552,135384.51
1553,152786.32
1554,111209.41
1555,149021.06
1556,112531.03
1557,101301.93
1558,118143.91
1559,85471.51
1560,128238.7
1561,153281.0
1562,135706.36
1563,126522.78
1564,160529.17
1565,134444.12
1566,237532.31
1567,92667.01
1568,226725.33
1569,121838.62
1570,143934.24
1571,105808.71
1572,143450.38
1573,226827.52
1574,121669.53
1575,231055.1
1576,235360.48
1577,183485.61
1578,154460.18
1579,129659.65
1580,186751.09
1581,161917.99
1582,136305.83
1583,283096.1
1584,228483.98
1585,155108.18
1586,30920.07
1587,113071.14
1588,154145.76
1589,117743.18
1590,149573.15
1591,81170.78
1592,136348.5
1593,139171.89
1594,132058.64
1595,109806.29
1596,217428.31
1597,170198.88
1598,197097.26
1599,191870.1
1600,187925.95
1601,38244.84
1602,120796.74
1603,59627.25
1604,265080.03
1605,250612.63
1606,164134.93
1607,163186.98
1608,219270.02
1609,188495.6
1610,153402.31
1611,151633.72
1612,190952.62
1613,161707.05
1614,129711.73
1615,77631.78
1616,57958.85
1617,76365.01
1618,109198.33
1619,159187.29
1620,161094.29
1621,141864.7
1622,146846.05
1623,249898.16
1624,224124.34
1625,117545.58
1626,187226.38
1627,176401.82
1628,273301.92
1629,170468.33
1630,304272.24
1631,203019.06
1632,221595.87
1633,183163.79
1634,192539.66
1635,186779.77
1636,152747.28
1637,201173.26
1638,212879.16
1639,170601.45
1640,260541.43
1641,171104.53
1642,261765.92
1643,225624.56
1644,233681.62
1645,228534.49
1646,162249.05
1647,156248.57
1648,124748.63
1649,137148.17
1650,113018.67
1651,113597.64
1652,114046.4
1653,111667.98
1654,149418.28
1655,141802.58
1656,141349.16
1657,149455.14
1658,155046.55
1659,109738.89
1660,146033.16
1661,409670.79
1662,349474.11
1663,375508.14
1664,432776.98
1665,323798.23
1666,296237.14
1667,341057.83
1668,345471.34
1669,299477.62
1670,351038.98
1671,254166.91
1672,378411.47
1673,276644.02
1674,249649.27
1675,193932.32
1676,194426.87
1677,203144.66
1678,421285.17
1679,343976.97
1680,321171.4
1681,287105.34
1682,294407.37
1683,181095.81
1684,191929.8
1685,197254.57
1686,174291.02
1687,193275.98
1688,205226.25
1689,212754.06
1690,210642.23
1691,200204.91
1692,279808.75
1693,189009.62
1694,176735.78
1695,166526.86
1696,269592.56
1697,161401.22
1698,300162.54
1699,307250.37
1700,244503.11
1701,268779.92
1702,245783.22
